"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"opinion-dynamics.nlogo"
"MediaShockANDCorruption"
"07/17/2025 15:39:05:221 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","media-shock?","corruption-active?","opinion-drift?","[step]","avg-trust","avg-surveillance","avg-inclusion","avg-net-density","links-formed-this-tick","links-broken-this-tick","count turtles with [opinion-trust < 0.3]","count turtles with [count link-neighbors = 0]"
"5","true","true","false","33","0","0.48301659960264987","0.48594453287045764","7.523529411764706","9","0","1020","0"
"3","true","true","false","35","0","0.4732150536263126","0.4898285063880215","7.464705882352941","4","0","1020","0"
"1","true","true","false","17","0.016435396802283966","0.47314801954774577","0.5021827097291205","4.935294117647059","396","325","1014","63"
"2","true","true","false","41","0","0.4935702743595865","0.48805644576737955","7.46078431372549","0","0","1020","0"
"4","true","true","false","42","0","0.4976851005315017","0.5114116191633846","7.41764705882353","0","0","1020","0"
"5","true","true","false","34","0","0.482482854580413","0.48487770682578907","7.535294117647059","6","0","1020","0"
"3","true","true","false","36","0","0.47345978040747755","0.48962467308508234","7.472549019607843","4","0","1020","0"
"2","true","true","false","42","0","0.4930923506442432","0.48885035793226594","7.46078431372549","0","0","1020","0"
"4","true","true","false","43","0","0.49751306751289803","0.5103071909320387","7.41764705882353","0","0","1020","0"
"5","true","true","false","35","0","0.48233622245548374","0.4852796988891956","7.547058823529412","6","0","1020","0"
"3","true","true","false","37","0","0.4728404557929559","0.48914181293965653","7.480392156862745","4","0","1020","0"
"2","true","true","false","43","0","0.4933315036141504","0.48920121889721047","7.46078431372549","0","0","1020","0"
"1","true","true","false","18","0.01598427448576722","0.47161328106515743","0.5014647076917212","5.066666666666666","382","315","1014","38"
