"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"collective-action-imitation.nlogo"
"General Analysis CA Baseline"
"07/17/2025 13:59:54:765 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-resisted","corruption?","coercion-level","initial-enrolled","corruption-penalty","media-shock-freq","trust-erosion","force-enrollment?","appeals-process?","media-shock?","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy"
"1","100","true","0","300","1","91","51","true","true","true","1","300","344","356","145","155","69","275","0.4509505425565051","0.30490196078431375","0.108"
"4","100","true","0","300","1","91","51","true","true","true","56","300","367","333","168","132","64","303","0.4406919395654398","0.31176470588235294","0.11242603550295859"
"2","100","true","0","300","1","91","51","true","true","true","18","300","347","353","150","150","60","287","0.43733075777595015","0.2950980392156863","0.09514563106796116"
"5","100","true","0","300","1","91","51","true","true","true","50","300","336","364","156","144","72","264","0.46297979990634247","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","57","300","367","333","168","132","64","303","0.4406919395654397","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","42","300","338","362","161","139","71","267","0.4677004608211189","0.3156862745098039","0.10759493670886076"
"2","100","true","0","300","1","91","51","true","true","true","19","300","347","353","150","150","60","287","0.43733075777595026","0.2950980392156863","0.09514563106796116"
"4","100","true","0","300","1","91","51","true","true","true","58","300","367","333","168","132","64","303","0.44069193956543945","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","43","300","338","362","161","139","71","267","0.4677004608211184","0.3156862745098039","0.10759493670886076"
"2","100","true","0","300","1","91","51","true","true","true","20","300","347","353","150","150","60","287","0.4373307577759503","0.2950980392156863","0.09514563106796116"
"3","100","true","0","300","1","91","51","true","true","true","44","300","338","362","161","139","71","267","0.4677004608211187","0.3156862745098039","0.10759493670886076"
"2","100","true","0","300","1","91","51","true","true","true","21","300","347","353","150","150","60","287","0.4373307577759504","0.2950980392156863","0.09514563106796116"
"3","100","true","0","300","1","91","51","true","true","true","45","300","338","362","161","139","71","267","0.46770046082111816","0.3156862745098039","0.10759493670886076"
"3","100","true","0","300","1","91","51","true","true","true","46","300","338","362","161","139","71","267","0.46770046082111877","0.3156862745098039","0.10759493670886076"
"2","100","true","0","300","1","91","51","true","true","true","22","300","347","353","150","150","60","287","0.4373307577759507","0.2950980392156863","0.09514563106796116"
"2","100","true","0","300","1","91","51","true","true","true","23","300","347","353","150","150","60","287","0.4373307577759505","0.2950980392156863","0.09514563106796116"
"2","100","true","0","300","1","91","51","true","true","true","24","300","347","353","150","150","60","287","0.43733075777595026","0.2950980392156863","0.09514563106796116"
